,number,,date,,
tmp2,17010,1,2013-01-01,,
tmp2,22121,2,2013-01-02,,
tmp2,22305,3,2013-01-03,,
tmp2,20604,4,2013-01-04,,
tmp2,20286,5,2013-01-05,,
tmp2,17811,6,2013-01-06,,
tmp2,21620,7,2013-01-07,,
tmp2,17749,8,2013-01-08,,
tmp2,17566,9,2013-01-09,,
tmp2,21374,10,2013-01-10,,
tmp2,22220,11,2013-01-11,,
tmp2,25704,12,2013-01-12,,
tmp2,18432,13,2013-01-13,,
tmp2,21314,14,2013-01-14,,
tmp2,19600,15,2013-01-15,,
tmp2,18455,16,2013-01-16,,
tmp2,23082,17,2013-01-17,,
tmp2,25510,18,2013-01-18,,
tmp2,27167,19,2013-01-19,,
tmp2,22255,20,2013-01-20,,
tmp2,21885,21,2013-01-21,,
tmp2,18707,22,2013-01-22,,
tmp2,19093,23,2013-01-23,,
tmp2,23237,24,2013-01-24,,
tmp2,25609,25,2013-01-25,,
tmp2,28453,26,2013-01-26,,
tmp2,20913,27,2013-01-27,,
tmp2,21145,28,2013-01-28,,
tmp2,18267,29,2013-01-29,,
tmp2,NA,30,NA,,
tmp2,15699,31,2013-01-30,,
tmp2,18361,32,2013-01-31,,
tmp2,18127,33,2013-02-01,,
tmp2,20467,34,2013-02-02,,
tmp2,13572,35,2013-02-03,,
tmp2,13841,36,2013-02-04,,
tmp2,12200,37,2013-02-05,,
tmp2,12824,38,2013-02-06,,
tmp2,20364,39,2013-02-07,,
tmp2,28263,40,2013-02-08,,
tmp2,30858,41,2013-02-09,,
tmp2,19868,42,2013-02-10,,
tmp2,24648,43,2013-02-11,,
tmp2,24305,44,2013-02-12,,
tmp2,26206,45,2013-02-13,,
tmp2,25516,46,2013-02-14,,
tmp2,27413,47,2013-02-15,,
tmp2,28932,48,2013-02-16,,
tmp2,24454,49,2013-02-17,,
tmp2,24932,50,2013-02-18,,
tmp2,22340,51,2013-02-19,,
tmp2,24254,52,2013-02-20,,
tmp2,26674,53,2013-02-21,,
tmp2,29178,54,2013-02-22,,
tmp2,31184,55,2013-02-23,,
tmp2,26917,56,2013-02-24,,
tmp2,26091,57,2013-02-25,,
tmp2,25704,58,2013-02-26,,
tmp2,30906,59,2013-02-27,,
tmp2,31319,60,2013-02-28,,
tmp2,34580,61,2013-03-01,,
tmp2,18060,62,2013-03-02,,
tmp2,17100,63,2013-03-03,,
tmp2,17385,64,2013-03-04,,
tmp2,14481,65,2013-03-05,,
tmp2,14711,66,2013-03-06,,
tmp2,19595,67,2013-03-07,,
tmp2,22660,68,2013-03-08,,
tmp2,21168,69,2013-03-09,,
tmp2,16722,70,2013-03-10,,
tmp2,18874,71,2013-03-11,,
tmp2,15749,72,2013-03-12,,
tmp2,16056,73,2013-03-13,,
tmp2,20947,74,2013-03-14,,
tmp2,26700,75,2013-03-15,,
tmp2,25192,76,2013-03-16,,
tmp2,19551,77,2013-03-17,,
tmp2,24271,78,2013-03-18,,
tmp2,21828,79,2013-03-19,,
tmp2,24280,80,2013-03-20,,
tmp2,25320,81,2013-03-21,,
tmp2,29740,82,2013-03-22,,
tmp2,29640,83,2013-03-23,,
tmp2,27434,84,2013-03-24,,
tmp2,27580,85,2013-03-25,,
tmp2,25592,86,2013-03-26,,
tmp2,27028,87,2013-03-27,,
tmp2,23503,88,2013-03-28,,
tmp2,32181,89,2013-03-29,,
tmp2,30840,90,2013-03-30,,
tmp2,25761,91,2013-03-31,,
tmp2,34919,92,2013-04-01,,
tmp2,32646,93,2013-04-02,,
tmp2,21098,94,2013-04-03,,
tmp2,30704,95,2013-04-04,,
tmp2,37203,96,2013-04-05,,
tmp2,28540,97,2013-04-06,,
tmp2,29849,98,2013-04-07,,
tmp2,NA,99,NA,,
tmp2,37706,100,2013-04-08,,
tmp2,33491,101,2013-04-09,,
tmp2,25387,102,2013-04-10,,
tmp2,27407,103,2013-04-11,,
tmp2,36815,104,2013-04-12,,
tmp2,36600,105,2013-04-13,,
tmp2,33921,106,2013-04-14,,
tmp2,32641,107,2013-04-15,,
tmp2,31716,108,2013-04-16,,
tmp2,31573,109,2013-04-17,,
tmp2,35751,110,2013-04-18,,
tmp2,37910,111,2013-04-19,,
tmp2,39748,112,2013-04-20,,
tmp2,30953,113,2013-04-21,,
tmp2,34836,114,2013-04-22,,
tmp2,33292,115,2013-04-23,,
tmp2,30682,116,2013-04-24,,
tmp2,34851,117,2013-04-25,,
tmp2,36912,118,2013-04-26,,
tmp2,37190,119,2013-04-27,,
tmp2,32012,120,2013-04-28,,
tmp2,32411,121,2013-04-29,,dddd
tmp2,30794,122,2013-04-30,,
tmp2,38623,123,2013-05-01,,
tmp2,29390,124,2013-05-02,,
tmp2,33728,125,2013-05-03,,
tmp2,30316,126,2013-05-04,,
tmp2,25026,127,2013-05-05,,
tmp2,33209,128,2013-05-06,,
tmp2,32045,129,2013-05-07,,
tmp2,27904,130,2013-05-08,,
tmp2,NA,131,NA,,
tmp2,30696,132,2013-05-09,,
tmp2,33875,133,2013-05-10,,
tmp2,33293,134,2013-05-11,,
tmp2,31857,135,2013-05-12,,
tmp2,35343,136,2013-05-13,,
tmp2,32930,137,2013-05-14,,
tmp2,24989,138,2013-05-15,,
tmp2,43085,139,2013-05-16,,
tmp2,43597,140,2013-05-17,,
tmp2,25326,141,2013-05-18,,
tmp2,32048,142,2013-05-19,,
tmp2,34637,143,2013-05-20,,
tmp2,34225,144,2013-05-21,,
tmp2,31521,145,2013-05-22,,
tmp2,34438,146,2013-05-23,,
tmp2,36595,147,2013-05-24,,
tmp2,38566,148,2013-05-25,,
tmp2,30892,149,2013-05-26,,
tmp2,35467,150,2013-05-27,,
tmp2,29555,151,2013-05-28,,
tmp2,32424,152,2013-05-29,,
tmp2,NA,153,NA,,
tmp2,29850,154,2013-05-30,,
tmp2,31145,155,2013-05-31,,
tmp2,35924,156,2013-06-01,,
tmp2,29645,157,2013-06-02,,
tmp2,32778,158,2013-06-03,,
tmp2,30579,159,2013-06-04,,
